deg,cs,E
46.45645645645646,1494.0242740535057,126
46.57657657657658,1450.2398100442283,126
46.6966966966967,1407.5991396339373,126
46.81681681681682,1366.0746579061513,126
46.936936936936945,1325.6394052990672,126
47.05705705705706,1286.2670523298234,126
47.17717717717718,1247.9318846979954,126
47.2972972972973,1210.6087887583926,126
47.41741741741742,1174.273237353207,126
47.53753753753754,1138.9012759941222,126
47.65765765765766,1104.4695093850053,126
47.77777777777778,1070.9550882762921,126
47.8978978978979,1038.3356966422693,126
48.01801801801802,1006.589539172804,126
48.138138138138146,975.6953290712535,126
48.25825825825826,945.6322761505759,126
48.37837837837838,916.3800752198133,126
48.4984984984985,887.9188947534165,126
48.61861861861862,860.2293658360502,126
48.73873873873874,833.2925713757321,126
48.85885885885886,807.0900355783351,126
48.97897897897898,781.6037136767462,126
49.0990990990991,756.815981908076,126
49.21921921921922,732.7096277325527,126
49.33933933933935,709.2678402879038,126
49.45945945945946,686.4742010731622,126
49.57957957957958,664.3126748560633,126
49.6996996996997,642.7676007983084,126
49.81981981981982,621.8236837931365,126
49.93993993993994,601.4659860098446,126
50.06006006006006,581.6799186399496,126
50.18018018018018,562.4512338399429,126
50.3003003003003,543.7660168656315,126
50.42042042042042,525.6106783932504,126
50.54054054054055,507.97194702264096,126
50.66066066066066,490.83686195793,126
50.78078078078078,474.19276586123715,126
50.9009009009009,458.02729787509867,126
51.02102102102102,442.32838680940176,126
51.14114114114114,427.08424448869664,126
51.26126126126126,412.28335925592893,126
51.38138138138138,397.9144896286804,126
51.5015015015015,383.96665810416175,126
51.62162162162162,370.42914510926244,126
51.74174174174175,357.29148309206295,126
51.86186186186186,344.5434507513635,126
51.98198198198198,332.1750674007749,126
52.1021021021021,320.1765874641233,126
52.22222222222222,308.53849509890506,126
52.34234234234234,297.2514989446929,126
52.46246246246246,286.3065269934014,126
52.58258258258258,275.6947215784832,126
52.7027027027027,265.40743448013086,126
52.82282282282282,255.43622214367318,126
52.94294294294294,245.77284100842144,126
53.06306306306306,236.4092429442955,126
53.18318318318318,227.3375707936153,126
53.3033033033033,218.55015401551896,126
53.42342342342342,210.0395044305542,126
53.54354354354354,201.7983120630027,126
53.66366366366366,193.8194410786187,126
53.78378378378378,186.0959258154779,126
53.9039039039039,178.62096690571983,126
54.02402402402402,171.38792748599994,126
54.14414414414414,164.3903294945433,126
54.26426426426427,157.6218500527436,126
54.38438438438438,151.07631792928117,126
54.5045045045045,144.7477100848135,126
54.62462462462462,138.63014829532773,126
54.74474474474474,132.7178958522908,126
54.86486486486486,127.00535433778522,126
54.98498498498498,121.48706047285675,126
55.1051051051051,116.15768303736061,126
55.22522522522522,111.01201985961062,126
55.34534534534534,106.04499487420942,126
55.46546546546547,101.25165524644524,126
55.585585585585584,96.62716856170482,126
55.70570570570571,92.16682007838658,126
55.82582582582583,87.86601004282409,126
55.94594594594595,83.7202510647795,126
56.06606606606607,79.72516555209799,126
56.18618618618619,75.8764832031454,126
56.30630630630631,72.17003855569165,126
56.42642642642643,68.60176859093124,126
56.54654654654656,65.1677103913616,126
56.66666666666667,61.86399885128316,126
56.78678678678679,58.686864438696986,126
56.90690690690691,55.63263100742413,126
57.02702702702703,52.69771365828643,126
57.14714714714715,49.87861664822302,126
57.26726726726727,47.171931346241976,126
57.38738738738739,44.57433423513515,126
57.50750750750751,42.08258495790631,126
57.62762762762763,39.69352440789369,126
57.74774774774775,37.404072861586016,126
57.86786786786787,35.21122815316155,126
57.987987987987985,33.112063889800105,126
58.108108108108105,31.103727706835908,126
58.228228228228225,29.18343956185492,126
58.34834834834836,27.34849006684356,126
58.46846846846848,25.59623885753643,126
58.5885885885886,23.924112999109784,126
58.70870870870872,22.329605427411288,126
58.82882882882884,20.8102734249135,126
58.94894894894896,19.36373713061487,126
59.06906906906907,17.987678083118514,126
59.18918918918919,16.6798377961465,126
59.30930930930931,15.438016365756026,126
59.42942942942943,14.26007110855077,126
59.54954954954955,13.14391523018693,126
59.66966966966967,12.087516523499337,126
59.78978978978979,11.088896095582662,126
59.90990990990991,10.146127123180314,126
60.030030030030034,9.25733363574965,126
60.150150150150154,8.420689325585057,126
60.270270270270274,7.63441638439606,126
60.39039039039039,6.896784365751249,126
60.51051051051051,6.206109072813004,126
60.63063063063063,5.560751470799644,126
60.75075075075076,4.959116623626973,126
60.87087087087088,4.399652654192929,126
60.990990990991,3.880849727779783,126
61.11111111111112,3.401239058062988,126
61.23123123123124,2.959391935226707,126
61.35135135135136,2.5539187756964985,126
61.471471471471475,2.1834681930113335,126
61.591591591591595,1.8467260893697581,126
61.711711711711715,1.5424147673922175,126
61.831831831831835,1.2692920616562062,126
61.951951951951955,1.02615048956665,126
62.072072072072075,0.8118164211378676,126
62.192192192192195,0.6251492672697875,126
